nombre,apellido,edad,oficina_nombre,oficina_nombre_corto
Daniela,Flores,29,Sucursal Córdoba,CBA
Joaquin,Soto,52,Sucursal Buenos Aires,BA
Amanda,Reyes,30,Sucursal Mendoza,MDZ
Cristobal,Lagos,60,Sucursal Córdoba,CBA
Catalina,Sepulveda,38,Sucursal Buenos Aires,BA
Alonso,Vidal,45,Sucursal Mendoza,MDZ
Isidora,Martinez,27,Sucursal Córdoba,CBA
Vicente,Ramirez,55,Sucursal Buenos Aires,BA
Paz,Soto,31,Sucursal Mendoza,MDZ
Felipe,Jimenez,40,Sucursal Córdoba,CBA
Sofia,Sanchez,24,Sucursal Buenos Aires,BA
Ignacio,Contreras,53,Sucursal Mendoza,MDZ
Valentina,Moya,28,Sucursal Córdoba,CBA
Esteban,Vera,42,Sucursal Buenos Aires,BA
Antonia,Orellana,36,Sucursal Mendoza,MDZ
Ricardo,Miranda,62,Sucursal Córdoba,CBA
Javiera,Bravo,21,Sucursal Buenos Aires,BA
Sebastian,Pizarro,51,Sucursal Mendoza,MDZ
Fernanda,Soto,33,Sucursal Córdoba,CBA
Gabriel,Reyes,47,Sucursal Buenos Aires,BA
Martina,Araya,26,Sucursal Mendoza,MDZ
Julian,Gallardo,58,Sucursal Córdoba,CBA
Romina,Nuñez,35,Sucursal Buenos Aires,BA
Agustin,Cordero,43,Sucursal Mendoza,MDZ
Paula,Loyola,29,Sucursal Córdoba,CBA
Diego,Fuentes,56,Sucursal Buenos Aires,BA
Valeria,Sanchez,30,Sucursal Mendoza,MDZ
Andres,Torres,65,Sucursal Córdoba,CBA
Camila,Vega,25,Sucursal Buenos Aires,BA
Nicolas,Jimenez,46,Sucursal Mendoza,MDZ
Sofia,Araya,32,Sucursal Córdoba,CBA
Patricio,Silva,59,Sucursal Buenos Aires,BA
Florencia,Rojas,23,Sucursal Mendoza,MDZ
Manuel,Vera,44,Sucursal Córdoba,CBA
